These results were downloaded and refreshed on April     29, 2023 at 6:08 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 29 avril 2023 à 6h08 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Al-Sudani		Khaled	People's Party - PPC	Parti populaire - PPC	288	1.2	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Anderson		Mélodie	Independent	Indépendant(e)	29	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Beaulieu		Myriam	Independent	Indépendant(e)	16	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Bonneau		Mylène	Independent	Indépendant(e)	9	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Boudreault		Jean-Denis Parent	Independent	Indépendant(e)	8	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Bélanger		Line	Independent	Indépendant(e)	8	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Carroll		Jevin David	Independent	Indépendant(e)	11	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Carson		Sean	Independent	Indépendant(e)	57	.2	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Chhinzer		Ron	Conservative	Conservateur	9264	37.4	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	CoRhino		Sébastien	Parti Rhinocéros Party	Parti Rhinocéros Party	24	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Currie		Charles	Independent	Indépendant(e)	44	.2	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Davis		Stephen	Independent	Indépendant(e)	21	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Dejewski		Mark	Independent	Indépendant(e)	11	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Dupont		Ysack	Independent	Indépendant(e)	2	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Eckstrom		Donovan	Independent	Indépendant(e)	5	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Engering		Alexandra	Independent	Indépendant(e)	8	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Gagnon		Daniel	Independent	Indépendant(e)	7	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Gagnon		Donald	Independent	Indépendant(e)	5	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Hildebrandt		Kerri	Independent	Indépendant(e)	9	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	House		Peter	Independent	Indépendant(e)	27	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Jubinville		Martin Acetaria Caesar	Independent	Indépendant(e)	3	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Jubinville		Samuel	Independent	Indépendant(e)	8	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Kidnew		Mary	Green Party	Parti Vert	779	3.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Kole		Julia	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1213	4.9	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Lamontagne		Alain	Independent	Indépendant(e)	1	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	LeBel		Marie-Hélène	Independent	Indépendant(e)	17	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Lukawski		Conrad	Independent	Indépendant(e)	32	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Rocchi		Spencer	Independent	Indépendant(e)	12	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Rosenblum		Eliana	Independent	Indépendant(e)	17	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Selody		Julian	Independent	Indépendant(e)	11	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Sherwood		Roger	Independent	Indépendant(e)	14	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Smith		Adam	Independent	Indépendant(e)	22	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Sousa		Charles	Liberal	Libéral	12687	51.2	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	St-Amand		Julie	Independent	Indépendant(e)	11	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	St-Amand		Pascal	Independent	Indépendant(e)	2	0	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Strzalkowski		Patrick	Independent	Indépendant(e)	36	.1	0	24760
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	preliminary	préliminaires	Szuchewycz		Tomas	Independent	Indépendant(e)	11	0	0	24760
